,Price,Area,Ward,District
534,2000000,25,,
535,4500000,30,,
536,3200000,25,,
537,2500000,18,,
538,3000000,20,,
539,2800000,50,,
540,1800000,12,,
541,2800000,75,,
542,1600000,15,,
543,4900000,30,,
544,1900000,14,,
545,2500000,12,,
546,1800000,18,,
547,1200000,16,,
548,1800000,30,,
549,1600000,18,,
550,1300000,21,,
551,1600000,20,,
552,2800000,30,,
553,2000000,20,,
554,1800000,15,,
555,1200000,20,,
556,2700000,27,,
557,2500000,20,,
558,2500000,22,,
559,1800000,18,,
560,2500000,17,,
561,1300000,15,,
562,1300000,15,,
563,2000000,100,,
564,2400000,25,,
565,1800000,18,,
566,2000000,25,,
567,3900000,24,,
568,2300000,18,,
569,2000000,25,,
570,4000000,24,,
571,2500000,30,,
572,1600000,18,,
573,3000000,25,,
574,2800000,23,,
575,2500000,25,,
576,2500000,20,,
577,2000000,20,,
578,600000,14,,
579,2000000,16,,
580,2500000,19,,
581,3500000,35,,
582,1200000,10,,
583,2500000,18,,
584,1500000,15,,
585,1100000,16,,
586,1100000,45,,
587,2300000,20,,
588,1200000,20,,
589,4000000,30,,
590,2200000,45,,
591,2000000,30,,
592,1500000,20,,
593,2300000,16,,
594,2000000,25,,
595,1800000,26,,
596,1800000,20,,
597,2200000,20,,
598,3500000,30,,
599,3000000,12,,
600,4500000,48,,
601,2000000,350,,
602,1200000,10,,
603,2500000,25,,
604,3000000,18,,
605,4000000,140,,
606,2500000,25,,
607,5000000,30,,
608,4500000,38,,
609,3000000,25,,
610,2200000,20,,
611,2700000,15,,
612,1800000,15,,
613,3500000,25,,
614,2000000,20,,
615,1800000,25,,
616,3000000,20,,
617,3000000,19,,
618,4500000,25,,
619,3500000,20,,
620,5500000,25,,
621,2900000,27,,
622,3800000,28,,
623,4800000,30,,
624,5000000,34,,
625,3000000,14,,
626,3000000,30,,
627,4500000,30,,
628,3500000,34,,
629,3500000,20,,
630,1600000,21,,
631,1500000,16,,
632,2500000,50,,
633,2900000,23,,
634,3700000,20,,
635,4000000,30,,
636,2000000,11,,
637,2000000,5,,
638,1500000,14,,
639,1300000,15,,
640,4000000,25,,
641,1200000,15,,
